full_name;model;link;sku;brand_name;weight;price;primePrice;primePriceWithDiscount;oldPrice;oldPrimePrice;priceWithDiscount;discountPercentage;rating;ratingCount;available;warranty;date
placa-de-video-rtx-4080-edition-asus-rog-strix-nvidia-geforce-16-gb-gddr6x-argb-dlss-ray-tracing-rog-strix-rtx4080-o16g-gaming;rtx 4080;https://www.kabum.com.br//produto/396781/placa-de-video-rtx-4080-edition-asus-rog-strix-nvidia-geforce-16-gb-gddr6x-argb-dlss-ray-tracing-rog-strix-rtx4080-o16g-gaming;396781;ASUS;3532;9999.99;0;0;0;0;8499.99;15;5;3;True;12 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-oc-gaming-verto-epic-x-rgb-triple-fan-pny-nvidia-geforce-16gb-gddr6x-dlss-3-ray-tracing-vcg4080s16tfxxpb1-o;rtx 4080;https://www.kabum.com.br//produto/520761/placa-de-video-rtx-4080-super-oc-gaming-verto-epic-x-rgb-triple-fan-pny-nvidia-geforce-16gb-gddr6x-dlss-3-ray-tracing-vcg4080s16tfxxpb1-o;520761;Pny;2386;8470.58;8216.46;6983.99;8470.58;8470.58;7199.99;15;0;0;True;36 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-gamingpro-oc-palit-nvidia-geforce-16gb-gddr6x-dlss-ray-trancing-g-sync-ned408st19t2-1032a;rtx 4080;https://www.kabum.com.br//produto/520746/placa-de-video-rtx-4080-super-gamingpro-oc-palit-nvidia-geforce-16gb-gddr6x-dlss-ray-trancing-g-sync-ned408st19t2-1032a;520746;PALIT;2164;8470.58;8235.28;6999.99;8470.58;8470.58;7199.99;15;0;0;True;24 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-windforce-gigabyte-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing-gv-n408swf3-16gd;rtx 4080;https://www.kabum.com.br//produto/545686/placa-de-video-rtx-4080-super-windforce-gigabyte-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing-gv-n408swf3-16gd;545686;Gigabyte;930;7999.9;0;0;0;0;7039.91;12;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-16gb-super-256-bits-gddr6x-ventus-3x-oc-912-v511-233;rtx 4080;https://www.kabum.com.br//produto/525374/placa-de-video-rtx-4080-16gb-super-256-bits-gddr6x-ventus-3x-oc-912-v511-233;525374;MSI;2160;11991.7;0;0;0;0;11991.7;0;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-tuf-oc-edition-asus-nvidia-geforce-16-gb-gddr6x-argb-dlss-ray-tracing-tuf-rtx4080-o16g-gaming;rtx 4080;https://www.kabum.com.br//produto/397058/placa-de-video-rtx-4080-tuf-oc-edition-asus-nvidia-geforce-16-gb-gddr6x-argb-dlss-ray-tracing-tuf-rtx4080-o16g-gaming;397058;ASUS;3032;9999.99;9699.99;8244.99;9999.99;9999.99;8499.99;15;5;4;True;12 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-xlr8-gaming-verto-epic-x-rgb-pny-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-vcg408016tfxxpb1-o;rtx 4080;https://www.kabum.com.br//produto/397576/placa-de-video-rtx-4080-xlr8-gaming-verto-epic-x-rgb-pny-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-vcg408016tfxxpb1-o;397576;Pny;2450;8235.28;7988.22;6789.99;8235.28;8235.28;6999.99;15;5;2;True;36 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-gigabyte-gaming-oc-nvidia-geforce-16gb-gddr6-dlss-ray-tracing-gv-n408sgaming-oc-16gd;rtx 4080;https://www.kabum.com.br//produto/517733/placa-de-video-rtx-4080-super-gigabyte-gaming-oc-nvidia-geforce-16gb-gddr6-dlss-ray-tracing-gv-n408sgaming-oc-16gd;517733;Gigabyte;2178;11764.69;0;0;0;0;9999.99;15;0;0;True;36 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-sg-1-click-oc-galax-geforce-16gb-gddr6x-argb-dlss-ray-tracing-48nzm6md6lsgbr;rtx 4080;https://www.kabum.com.br//produto/482681/placa-de-video-rtx-4080-sg-1-click-oc-galax-geforce-16gb-gddr6x-argb-dlss-ray-tracing-48nzm6md6lsgbr;482681;Galax;4000;9999.9;0;0;0;0;9999.9;0;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-sg-galax-nvidia-geforce-16gb-gddr6x-256bits;rtx 4080;https://www.kabum.com.br//produto/532486/placa-de-video-rtx-4080-super-sg-galax-nvidia-geforce-16gb-gddr6x-256bits;532486;Galax;3000;11689.9;0;0;0;0;11105.41;5;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-colorful-igame-rtx-4080-16gb-vulcan-oc-v;rtx 4080;https://www.kabum.com.br//produto/444695/placa-de-video-colorful-igame-rtx-4080-16gb-vulcan-oc-v;444695;Colorful;2400;9399;0;0;0;0;8271.12;12;0;0;True;;2024-04-25 03:36:49.843165
